Folio,deleg,guard,id_guard,Esq,fecha_día,fecha_mes,fecha_año,hr_ini_h,hr_ini_m,hr_fin_h,hr_fin_m,F1,F2,lugaraplic,sexo,edad,edad_calc,parentf,parent,razoncui_e,razoncui_r,edadnino_años,edadnino_meses,sexonino,sala,discap,sat1,sat1_motg_1,sat1_motg_2,sat1_motg_3,requins,solinsc,noincint,tramit,motdifinsc,cartdes,tmpoingr,platica,filtroen,asistllegada,revpañal,revdesp,revunas,huecrede,revaytec,trato2,trato2_motg,trato1,motmalt,menuf,menu,acualimc,razondesal,alimcasa,alimcasamot,nutricionf,nutricion2,nutricion,lactm1a,lactm3a,lactm3b,lacnoraza,lactm4a,lactm4b,vacunas,valmed2m,medpart,motpart,retdesa,refumf,broguar,broinfo,trasurg,infurg,segurg,medidaseg,medidaseg2_1,medidaseg2_2,medidaseg2_3,mecpar,vigilante,limpguard,motlimpg,instaguard,calmant_1,calmant_2,calmant_3,tiempo,desling,desmot,desocon,conact,actadec,tematnycf,tematnyc,juntas,temjunt_1,temjunt_2,temjunt_3,comunic5med,asisdiainf,asishorinf_h,asishorinf_m,comunic6_1,comunic6_2,comunic6_3,preesc,recpree_2,consjpadres,dentrega,informe,infoinci,limpsalida,limpsalida2,huecreds,entrman,tipident,necehorar,sathorar_ini_h,sathorar_ini_m,sathorar_fin_h,sathorar_fin_m,razon_1,razon_2,razon_3,sat2,expecserv,actserv,recomen,motrecomen,recomserv_1,recomserv_2,recomserv_3,atnpref,atnpref2_a,corrup1,corrup4_1,corrup4_2,corrup4_3,escolar,fecha,entidad,id_guardería,CveDelegación,Delegación,NombredelaGuardería,BeneficiariosMarzo2022,Guardería,TipoGuard,estrato,MOSBenef,FE_FinalNR
169695956,1,Guardería Ordinaria G - 0001 Aguascalientes,1,2,30,6,2022,11,16,11,30,1,1,2,1,34, ,1,2, , ,3,0,2,7,2,1, , , ,5,2, ,2, ,2,3,1,6,1,97,1,2,1, ,1, ,1, ,1,1,1, ,2,6,2, , ,4,2, ,7, , ,1,1,1,5,2, ,1,1,1,1,1,2, , , ,1,1,1, ,1, , , ,3,1,1,1,2, ,2, ,2, , , ,4,5,17,0,4, , ,2,2,2,6,4,1,2,1,1,1,2,1, , , , ,5, , ,10,2,1,1, ,4, , ,2,2,2, , , ,9,2022-06-30,1,1,1,Aguascalientes,Guardería Ordinaria G - 0001 Aguascalientes,122,G-0001,2,1,1,3.32602720744209
169696558,1,Guardería Ordinaria G - 0001 Aguascalientes,1,2,30,6,2022,7,42,7,53,1,1,1,1,26, ,2,2, , ,0,6,2,1,2,2, , , ,2,2, ,2, ,1,4,1,6,1,1,1,1,1, ,2, ,2, ,1,1,1, ,1, ,2, , ,1,2, ,8, , ,1,1,2, ,2, ,1,1,2, , ,2, , , ,2,1,2, ,2, , , ,1,99,1,1,1,1,1,1, , , , ,11,5,17,0,9, , ,1,1,2,6,1,1,1,1,1,1,3,1, , , , ,6, , ,9,2,2,1, ,11, , ,1,2,2, , , ,9,2022-06-30,1,1,1,Aguascalientes,Guardería Ordinaria G - 0001 Aguascalientes,122,G-0001,2,1,1,3.32602720744209
169696559,1,Guardería Ordinaria G - 0001 Aguascalientes,1,2,30,6,2022,7,56,8,6,1,1,1,1,52, ,2,3,2,2,0,4,1,1,2,2, , , ,6, , , , , ,1, ,6,1,1,1,1,1, ,2, ,1, ,99, ,1, ,1, ,2, , ,5, ,1, , ,4,1,1,2, ,2, ,1,1,2, , ,2, , , ,1,1,2, ,2, , , ,1,99,1,1,2, ,1,4, , , , ,5,5,16,0,9, , ,1,2,2,6,1,1,1,1,1,1,3,1, , , , ,6,2, ,10,1,1,1, ,995, , ,2,2,2, , , ,5,2022-06-30,1,1,1,Aguascalientes,Guardería Ordinaria G - 0001 Aguascalientes,122,G-0001,2,1,1,3.28700583357068
169696560,1,Guardería Ordinaria G - 0001 Aguascalientes,1,2,30,6,2022,8,11,8,28,1,1,1,1,36, ,2,2, , ,3,0,2,7,2,4,1,3, ,1,2, ,2, ,1,3,1,6,1,1,1,1,1, ,5,1,2, ,1,99,99, ,1, ,2, , ,4,1, , ,2, ,1,1,1,6,1,99,1,1,2, , ,2, , , ,2,1,2, ,4,12,9,10,4,1,1,1,2, ,2, ,2, , , ,4,5,17,0,11, , ,2,2,2,6,5,1,5,2,1,1,3,1, , , , ,6, , ,0,2,5,4,1,40,24,2,2,1,2, , , ,9,2022-06-30,1,1,1,Aguascalientes,Guardería Ordinaria G - 0001 Aguascalientes,122,G-0001,2,1,1,3.62913398437622
169696561,1,Guardería Ordinaria G - 0001 Aguascalientes,1,2,30,6,2022,8,42,8,52,1,1,1,1,35, ,2,2, , ,0,1,1,1,2,2, , , ,2,2, ,2, ,1,3,1,6,1,1,1,1,1, ,1, ,1, ,1,1,1, ,1, ,2, , ,5, ,1, , ,2,1,2,2, ,2, ,2, ,2, , ,1,6,10, ,2,1,1, ,1, , , ,1,99,99,99,1,1,1,1, , , , ,4,6,10,0,9, , ,2,1,2,6,1,1,1,1,1,1,999,1, , , , ,2,6, ,10,2,1,1, ,995, , ,2,2,2, , , ,9,2022-06-30,1,1,1,Aguascalientes,Guardería Ordinaria G - 0001 Aguascalientes,122,G-0001,2,1,1,3.62913398437622
169696562,1,Guardería Ordinaria G - 0001 Aguascalientes,1,2,30,6,2022,10,29,10,39,1,2,2,2,45, ,2,1, , ,3,0,1,6,2,99, , , ,6, , , , , ,1, ,6,1,97,1,1,1, ,2, ,99, ,1,99,1, ,99, ,2, , ,4,2, ,7, , ,1,2,2, ,2, ,2, ,2, , ,2, , , ,2,1,2, ,99, , , ,3,1,1,1,2, ,2, ,1,11, , ,2,5,16,0,9, , ,2,2,2, , , , , , , , ,1, , , , ,4, , ,9,1,2,1, ,20, , ,2,2,2, , , ,9,2022-06-30,1,1,1,Aguascalientes,Guardería Ordinaria G - 0001 Aguascalientes,122,G-0001,2,1,1,3.28116536972747
169696563,1,Guardería Ordinaria G - 0001 Aguascalientes,1,2,30,6,2022,11,24,11,35,1,1,2,2,26, ,1,10,2,2,3,0,1,5,2,2, , , ,6, , , , , ,1, ,6,1,1,1,1,1, ,2, ,2, ,1,1,1, ,1, ,2, , ,99, , , , , ,1,1,2, ,2, ,2, ,2, , ,1,10,8,9,99,1,1, ,1, , , ,4,1,1,1,99, ,1,2, , , , ,4,5,12,0,9, , ,2,2,1,6,99,1,2,1,1,1,1,2,8,0,20,0,2, , ,10,2,1,1, ,995, , ,2,2,2, , , ,7,2022-06-30,1,1,1,Aguascalientes,Guardería Ordinaria G - 0001 Aguascalientes,122,G-0001,2,1,1,3.32011740909363
169696596,1,Guardería Ordinaria G - 0001 Aguascalientes,1,2,30,6,2022,11,27,11,38,1,1,2,1,55, ,2,3,1,999,0,9,1,5,2,2, , , ,6, , , , , ,1, ,6,1,1,1,1,1, ,1, ,1, ,1,3,1, ,1, ,2, , ,1,2, ,12, , ,1,1,2, ,2, ,2, ,2, , ,1,18, , ,1,1,1, ,1, , , ,1,1,1,1,1,1,1,1, , , , ,2,5,14,30,9, , ,2,1,1,99, , , , , , , ,1, , , , ,4, , ,10,2,1,1, ,995, , ,2,2,2, , , ,7,2022-06-30,1,1,1,Aguascalientes,Guardería Ordinaria G - 0001 Aguascalientes,122,G-0001,2,1,1,3.02556885719465
169699188,1,Guardería Ordinaria G - 0001 Aguascalientes,1,2,30,6,2022,12,4,12,15,1,1,2,1,34, ,2,2, , ,2,6,2,6,2,1, , , ,2,2, ,2, ,1,7,1,6,1,97,1,1,1, ,1, ,1, ,1,1,1, ,1, ,2, , ,4,2, ,7, , ,1,1,2, ,2, ,1,1,2, , ,1,10, , ,2,1,1, ,1, , , ,1,1,1,1,2, ,1,1, , , , ,4,2,8,0,9, , ,1,1,2,4,1,1,1,1,1,1,2,1, , , , ,6, , ,10,2,1,1, ,995, , ,2,2,2, , , ,8,2022-06-30,1,1,1,Aguascalientes,Guardería Ordinaria G - 0001 Aguascalientes,122,G-0001,2,1,1,3.32602720744209
169699683,1,Guardería Ordinaria G - 0001 Aguascalientes,1,2,30,6,2022,12,12,12,24,1,1,2,1,38, ,2,2, , ,2,8,1,6,2,3,2, , ,2,2, ,2, ,1,5,1,3,1,1,1,1,1, ,2, ,2, ,2, ,1, ,1, ,2, , ,7, , , , , ,1,2,2, ,2, ,1,1,2, , ,1,6,20, ,2,1,2, ,2, , , ,1,2,2,2,2, ,2, , , , , ,2,5,12,0,4, , ,2,1,2,6,5,5,4,2,1,1,2,1, , , , ,1, , ,8,1,2,3,1,24, , ,1,2,2, , , ,9,2022-06-30,1,1,1,Aguascalientes,Guardería Ordinaria G - 0001 Aguascalientes,122,G-0001,2,1,1,3.62913398437622
169705139,1,Guardería Ordinaria G - 0001 Aguascalientes,1,2,30,6,2022,13,54,14,8,1,1,2,1,36, ,2,2, , ,0,9,2,2,2,2, , , ,1,2, ,2, ,1,4,1,6,1,1,1,4,1, ,2, ,2, ,1,2,1, ,1, ,2, , ,5, ,1, , ,4,1,1,2, ,2, ,1,1,2, , ,2, , , ,2,2,2, ,2, , , ,1,2,1,1,1,1,1,8, , , , ,2,1,8,0,9, , ,2,1,2,3,5,1,1,2,1,1,2,2,6,0,22,0,6, , ,7,2,2,3,1,25, , ,1,2,2, , , ,9,2022-06-30,1,1,1,Aguascalientes,Guardería Ordinaria G - 0001 Aguascalientes,122,G-0001,2,1,1,3.62913398437622
169706924,1,Guardería Ordinaria G - 0001 Aguascalientes,1,2,30,6,2022,14,31,14,42,1,1,2,2,33, ,2,1, , ,2,0,2,6,2,1, , , ,6, , , , , ,1, ,6,1,97,1,1,1, ,1, ,1, ,1,1,1, ,1, ,2, , ,2,1, , ,6, ,1,1,2, ,2, ,1,1,2, , ,2, , , ,99,1,1, ,1, , , ,4,1,1,1,1,1,1,4,2, , , ,2,5,14,0,9, , ,1,2,2,6,1,1,1,1,1,1,2,1, , , , ,2, , ,10,2,1,1, ,4, , ,2,2,2, , , ,9,2022-06-30,1,1,1,Aguascalientes,Guardería Ordinaria G - 0001 Aguascalientes,122,G-0001,2,1,1,3.32011740909363
169707295,1,Guardería Ordinaria G - 0001 Aguascalientes,1,2,30,6,2022,14,40,14,51,1,1,2,1,31, ,2,2, , ,0,8,2,2,2,1, , , ,2,2, ,2, ,1,3,1,6,1,1,1,1,1, ,1, ,1, ,1,1,1, ,1, ,2, , ,1,2, ,6, , ,3,1,2, ,2, ,1,1,2, , ,2, , , ,99,1,1, ,1, , , ,1,99,1,1,1,1,1,4, , , , ,4,5,18,0,2, , ,2,2,2,4,1,1,1,1,1,1,999,1, , , , ,6, , ,10,3,1,1, ,37, , ,2,2,2, , , ,9,2022-06-30,1,1,1,Aguascalientes,Guardería Ordinaria G - 0001 Aguascalientes,122,G-0001,2,1,1,3.32602720744209
169708852,1,Guardería Ordinaria G - 0001 Aguascalientes,1,2,30,6,2022,15,8,15,21,1,1,2,1,30, ,2,2, , ,0,9,1,2,2,1, , , ,2,2, ,1, ,1,3,1,99, , , , , , ,1, ,1, ,1,4,1, ,1, ,2, , ,1,2, ,6, , ,1,1,2, ,2, ,2, ,2, , ,1,6, , ,2,1,1, ,2, , , ,1,1,1,1,99, ,1,5, , , , ,2,5,15,30,2, , ,2,2,2,6,6,1,1,1,1,1,2,1, , , , ,2, , ,10,3,2,1, ,995, , ,2,2,2, , , ,9,2022-06-30,1,1,1,Aguascalientes,Guardería Ordinaria G - 0001 Aguascalientes,122,G-0001,2,1,1,3.32602720744209
169710597,1,Guardería Ordinaria G - 0001 Aguascalientes,1,2,30,6,2022,15,2,15,17,1,1,2,2,63, ,2,3,1,1,3,0,2,6,2,1, , , ,6, , , , , ,1, ,6,1,1,1,1,1, ,2, ,99, ,1,99,1, ,2,8,2, , ,99, , , , , ,1,1,2, ,2, ,2, ,2, , ,1,10, , ,1,1,99, ,2, , , ,4,1,1,1,2, ,1,15, , , , ,3,1,10,0,9, , ,1,99,1,6,1,1,1,1,1,1,2,1, , , , ,1, , ,10,99,2,1, ,995, , ,2,2,2, , , ,5,2022-06-30,1,1,1,Aguascalientes,Guardería Ordinaria G - 0001 Aguascalientes,122,G-0001,2,1,1,3.02019292346946
169710875,1,Guardería Ordinaria G - 0001 Aguascalientes,1,2,30,6,2022,15,49,16,1,1,1,2,1,34, ,1,2, , ,0,9,2,2,2,2, , , ,5,2, ,1, ,1,2,1,6,1,1,1,1,1, ,1, ,2, ,1,1,1, ,1, ,2, , ,1,2, ,5, , ,1,1,2, ,2, ,2, ,2, , ,1,18,6, ,1,1,1, ,2, , , ,1,1,1,1,1,1,1,16, , , , ,3,3,12,0,9, , ,2,2,2,6,1,5,1,1,1,1,2,1, , , , ,2, , ,10,3,1,1, ,995, , ,2,2,2, , , ,9,2022-06-30,1,1,1,Aguascalientes,Guardería Ordinaria G - 0001 Aguascalientes,122,G-0001,2,1,1,3.32602720744209
169711062,1,Guardería Ordinaria G - 0001 Aguascalientes,1,2,30,6,2022,15,36,15,47,1,1,2,1,29, ,2,2, , ,2,0,1,6,2,2, , , ,1,2, ,2, ,1,3,1,6,1,1,1,1,1, ,2, ,2, ,1,2,1, ,1, ,2, , ,3,2, ,6, , ,1,1,1,2,2, ,1,1,2, , ,2, , , ,2,1,2, ,2, , , ,4,1,1,1,2, ,2, ,2, , , ,2,3,17,0,4, , ,2,2,2,6,1,2,1,2,1,1,2,1, , , , ,2, , ,8,1,2,1, ,28, , ,1,1,2, , , ,9,2022-06-30,1,1,1,Aguascalientes,Guardería Ordinaria G - 0001 Aguascalientes,122,G-0001,2,1,1,3.32602720744209
169711063,1,Guardería Ordinaria G - 0001 Aguascalientes,1,2,30,6,2022,15,48,16,0,1,1,2,1,23, ,2,2, , ,3,11,2,8,1,1, , , ,2,2, ,2, ,1,1,1,6,1,1,1,1,1,1,1, ,1, ,1,1,1, ,1, ,2, , ,2,2, ,7, , ,1,1,2, ,2, ,2, ,1,1,1,1,10,1, ,1,1,1, ,1, , , ,3,1,1,1,1,1,1,4,1,11, , ,3,1,15,0,9, , ,2,1,2,6,1,1,1,1,1,1,2,1, , , , ,4,9, ,10,1,1,1, ,995, , ,2,2,2, , , ,7,2022-06-30,1,1,1,Aguascalientes,Guardería Ordinaria G - 0001 Aguascalientes,122,G-0001,2,1,1,3.16402661228335
169711307,1,Guardería Ordinaria G - 0001 Aguascalientes,1,2,30,6,2022,15,59,16,11,1,1,2,1,32, ,2,2, , ,1,7,1,4,2,2, , , ,1,2, ,1, ,1,4,1,6,1,1,1,1,1, ,1, ,1, ,1,2,1, ,1, ,2, , ,5, ,1, , ,4,1,1,2, ,2, ,1,1,2, , ,2, , , ,2,1,2, ,3,8, , ,2,1,1,1,2, ,2, ,2, , , ,2,1,8,0,4,3, ,2,2,2,6,1,6,1,2,1,1,2,1, , , , ,6, , ,9,1,1,1, ,4, , ,2,2,2, , , ,9,2022-06-30,1,1,1,Aguascalientes,Guardería Ordinaria G - 0001 Aguascalientes,122,G-0001,2,1,1,3.32602720744209
169712986,1,Guardería Ordinaria G - 0001 Aguascalientes,1,2,30,6,2022,16,33,16,46,1,1,2,1,33, ,2,2, , ,3,0,2,8,2,4,10, , ,2,2, ,2, ,1,3,1,5,1,1,1,1,1, ,2, ,2, ,2, ,1, ,1, ,2, , ,4,2, ,8, , ,1,1,2, ,2, ,2, ,2, , ,2, , , ,2,1,2, ,2, , , ,3,1,1,1,99, ,1,1,2, , , ,4,5,17,0,9, , ,2,2,2,5,1,1,1,1,1,1,2,1, , , , ,2, , ,9,2,2,2, ,13, , ,1,2,2, , , ,7,2022-06-30,1,1,1,Aguascalientes,Guardería Ordinaria G - 0001 Aguascalientes,122,G-0001,2,1,1,3.32602720744209
169714455,1,Guardería Ordinaria G - 0001 Aguascalientes,1,2,30,6,2022,17,5,17,18,1,1,2,1,32, ,2,2, , ,2,3,2,5,2,2, , , ,1,2, ,1, ,1,4,1,6,1,97,1,1,1, ,2, ,2, ,2, ,1, ,1, ,2, , ,5, ,1, , ,5,1,1,1,8,2, ,1,1,2, , ,2, , , ,2,1,1, ,1, , , ,2,1,1,1,2, ,2, ,2, , , ,11,5,9,0,4, , ,2,2,2,6,4,4,2,1,1,1,2,1, , , , ,1, , ,8,99,2,1, ,28, , ,1,2,2, , , ,9,2022-06-30,1,1,1,Aguascalientes,Guardería Ordinaria G - 0001 Aguascalientes,122,G-0001,2,1,1,3.32602720744209
169715770,1,Guardería Ordinaria G - 0001 Aguascalientes,1,2,30,6,2022,17,36,17,49,1,1,2,1,23, ,1,2, , ,3,0,2,8,2,2, , , ,1,2, ,4,5,1,4,1,6,1,97,1,1,1, ,1, ,1, ,1,1,1, ,2,6,2, , ,1,2, ,8, , ,1,1,2, ,2, ,2, ,2, , ,1,10, , ,1,2,2, ,1, , , ,1,1,1,1,2, ,99, , , , , ,2,8,17,0,9, , ,1,1,2,6,1,1,1,2,1,1,2,1, , , , ,2, , ,9,5,2,2, ,999, , ,2,2,2, , , ,7,2022-06-30,1,1,1,Aguascalientes,Guardería Ordinaria G - 0001 Aguascalientes,122,G-0001,2,1,1,3.16402661228335
169717160,1,Guardería Ordinaria G - 0001 Aguascalientes,1,2,30,6,2022,18,12,18,23,1,1,2,2,39, ,2,1, , ,3,0,2,6,2,2, , , ,6, , , , , ,1, ,6,1,1,1,1,1, ,2, ,2, ,1,1,1, ,1, ,2, , ,4,2, ,12, , ,1,1,2, ,2, ,2, ,2, , ,2, , , ,2,1,2, ,2, , , ,4,1,1,1,2, ,2, ,1,11, , ,11,1,11,0,9, , ,2,2,2,6,1,1,2,1,1,1,997,1, , , , ,2, , ,7,2,2,2, ,28, , ,2,2,2, , , ,7,2022-06-30,1,1,1,Aguascalientes,Guardería Ordinaria G - 0001 Aguascalientes,122,G-0001,2,1,1,3.62268561558982
169718026,1,Guardería Ordinaria G - 0001 Aguascalientes,1,2,30,6,2022,18,37,18,50,1,1,2,1,28, ,2,2, , ,2,11,2,5,2,1, , , ,1,1,6,1, ,1,3,1,6,1,1,1,1,1, ,1, ,1, ,1,2,1, ,1, ,2, , ,1,2, ,12, , ,1,1,1,4,1,1,1,1,2, , ,1,6, , ,2,2,1, ,1, , , ,4,1,1,1,1,1,1,4,1,11, , ,4,5,17,0,14, , ,2,2,2,6,1,1,2,2,1,1,2,1, , , , ,2,5, ,10,2,1,1, ,10, , ,2,2,2, , , ,9,2022-06-30,1,1,1,Aguascalientes,Guardería Ordinaria G - 0001 Aguascalientes,122,G-0001,2,1,1,3.32602720744209
